Company	Industry	Headquarters	MarketCap
Ergis-Eurofilms S A   WSE EEF                                         	Commodity Chemicals         	Poland	18.8
Hunan Dongting Aquaculture Co  Ltd   SHSE 600257                      	Packaged Foods and Meats    	China 	214.9
Guangzhou Refrigeration Co   Ltd   SZSE 000893                        	Industrial Machinery        	China 	342.6
CSSC Jiangnan Heavy Industry Co Ltd  SHSE 600072                      	Steel                       	China 	588.5
Zhejiang Feida Environmental Science & Technology Co  Ltd   SHSE 60052	Industrial Machinery        	China 	194.3
China Huiyuan Juice Group Limited  SEHK 1886                          	Packaged Foods and Meats    	China 	1910.1
Pamapol S A   WSE PMP                                                 	Packaged Foods and Meats    	Poland	23.7
Sichuan Chuantou Energy Co Ltd  SHSE 600674                           	Steel                       	China 	1490.9
Shenzhen Tonge  group  Co   Ltd   SZSE 000090                         	Construction and Engineering	China 	203.9
Yantai Moon Co  Ltd   SZSE 000811                                     	Industrial Machinery        	China 	157.2
Jutrzenka S A   WSE JTZ                                               	Packaged Foods and Meats    	Poland	1692.2
Chongqing Sanxia Paints Co  Ltd   SZSE 000565                         	Commodity Chemicals         	China 	193.6
Sichuan Road & Bridge Co Ltd  SHSE 600039                             	Construction and Engineering	China 	265.9
Hubei Hongcheng General Machinery Co Ltd  SHSE 600566                 	Industrial Machinery        	China 	76
Shanghai Tongji Science & Technology Industrial Co  Ltd   SHSE 600846 	Construction and Engineering	China 	215.6
Henan Lianhua Gourmet Powder Co  Ltd   SHSE 600186                    	Packaged Foods and Meats    	China 	396.1
Jiangsu Sopo Chemical Co Ltd  SHSE 600746                             	Commodity Chemicals         	China 	160.9
Dalian Refrigeration Co  Ltd   SZSE 200530                            	Industrial Machinery        	China 	127.8
Hubei Jingshan Light Industry Machinery Stock Co  Ltd   SZSE 000821   	Industrial Machinery        	China 	142.4
Srubex S A   WSE SRX                                                  	Industrial Machinery        	Poland	29.7
Shenzhen Huaxin Co Ltd  SZSE 000010                                   	Industrial Machinery        	China 	117.8
Nanjing Chemical Fibre Co Ltd  SHSE 600889                            	Commodity Chemicals         	China 	140
Shenyang Machine Tool Co   Ltd   SZSE 000410                          	Industrial Machinery        	China 	418.9
Chengdu Hoist Inc  Ltd   SZSE 000790                                  	Construction and Engineering	China 	195.1
Longjian Road & Bridge Co  Ltd   SHSE 600853                          	Construction and Engineering	China 	248.9
Mispol SA  WSE MIP                                                    	Packaged Foods and Meats    	Poland	16.8
Star Lake Bioscience Co   Inc  Zhaoqing Guangdong  SHSE 600866        	Packaged Foods and Meats    	China 	281.3
Hunan Tianyi Science & Technology Co  Ltd   SZSE 000908               	Industrial Machinery        	China 	166.7
PONAR Wadowice S A   WSE PNF                                          	Industrial Machinery        	Poland	23.6
Xin Jiang Hui Tong Group Co   Ltd   SZSE 000415                       	Construction and Engineering	China 	207.8
Renar Macas S a  BOVESPA RNAR3                                        	Packaged Foods and Meats    	Brazil	49.1
Hunan Jinjian Cereals Industry Co  Ltd  SHSE 600127                   	Packaged Foods and Meats    	China 	398.2
Guangdong Xinhui Meida Nylon Co   Ltd   SZSE 000782                   	Commodity Chemicals         	China 	149.7
Hubei Golden Ring Company Ltd  SZSE 000615                            	Commodity Chemicals         	China 	98.8
Shanghai Pudong Road & Bridge Construction Co   Ltd   SHSE 600284     	Construction and Engineering	China 	547.1
Tibet Tianlu Co   Ltd   SHSE 600326                                   	Construction and Engineering	China 	295.5
Norinco International Cooperation Ltd  SZSE 000065                    	Construction and Engineering	China 	163.9
China Petroleum Jilin Chemical Engineering & Construction Co Ltd  SHSE	Construction and Engineering	China 	315.5
Quattor Petroquimica SA  BOVESPA SZPQ4                                	Commodity Chemicals         	Brazil	849.5
Shaanxi Baoguang Vacuum Electronic Apparatus Co  Ltd   SHSE 600379    	Industrial Machinery        	China 	132.8
Pronor Petroquimica S a   BOVESPA PNOR5                               	Commodity Chemicals         	Brazil	27.5
Hunan New Wellful Co Ltd  SHSE 600975                                 	Packaged Foods and Meats    	China 	176.7
Banco Mercantil do Brasil S A   BOVESPA BMEB4                         	Diversified Banks           	Brazil	108.9
Banco Indusval Multistock S A   BOVESPA IDVL4                         	Diversified Banks           	Brazil	88.8
BicBanco  S A   BOVESPA BICB4                                         	Diversified Banks           	Brazil	460.2
BRE Bank SA  WSE BRE                                                  	Diversified Banks           	Poland	2180.6
Fortis Bank Polska SA  WSE FTS                                        	Diversified Banks           	Poland	865.9
Banco Pine S A   BOVESPA PINE4                                        	Diversified Banks           	Brazil	186.2
Banco do Brasil S A   BOVESPA BBAS3                                   	Diversified Banks           	Brazil	18056.5
Banrisul  BOVESPA BRSR6                                               	Diversified Banks           	Brazil	1022.9
Banco Sofisa S A   BOVESPA SFSA4                                      	Diversified Banks           	Brazil	272.4
Huaxia Bank Co   Ltd   SHSE 600015                                    	Diversified Banks           	China 	5569.5
Banco Bradesco S A   BOVESPA BBDC4                                    	Diversified Banks           	Brazil	33384.3
Central Bank of India  BSE 532885                                     	Diversified Banks           	India 	343
Indian Overseas Bank  BSE 532388                                      	Diversified Banks           	India 	778.4
Banco Itau Holding Financeira S A   BOVESPA ITAU4                     	Diversified Banks           	Brazil	38236.2
Banco Cruzeiro Do Sul SA  BOVESPA CZRS4                               	Diversified Banks           	Brazil	374.2
Industrial Bank Co   Ltd   SHSE 601166                                	Diversified Banks           	China 	11474.6
Banco Panamericano S A   BOVESPA BPNM4                                	Diversified Banks           	Brazil	341.6
Bank Of Communications  SEHK 3328                                     	Diversified Banks           	China 	37419.2
The Lakshmi Vilas Bank Ltd   BSE 590069                               	Diversified Banks           	India 	27
GETIN Holding  S A   WSE GTN                                          	Diversified Banks           	Poland	1272
China Minsheng Banking Corp  Ltd   SHSE 600016                        	Diversified Banks           	China 	11563.4
Union Bank of India  BSE 532477                                       	Diversified Banks           	India 	1585.4
Corporation Bank  BSE 532179                                          	Diversified Banks           	India 	558.8
Bank Millennium SA  WSE MIL                                           	Diversified Banks           	Poland	824.8
Bank BPH SA  WSE BPH                                                  	Diversified Banks           	Poland	457
Bank Ochrony Srodowiska SA  WSE BOS                                   	Diversified Banks           	Poland	399.4
YES BANK Limited  BSE 532648                                          	Diversified Banks           	India 	476.9
Bank Pekao SA  WSE PEO                                                	Diversified Banks           	Poland	11688.5
Jammu and Kashmir Bank Ltd   BSE 532209                               	Diversified Banks           	India 	342.3
ING Bank Slaski SA  WSE BSK                                           	Diversified Banks           	Poland	1981.9
Paraná Banco S A  BOVESPA PRBC4                                       	Diversified Banks           	Brazil	165.2
Bank of China  SEHK 3988                                              	Diversified Banks           	China 	70079.8
Karur Vysya Bank  BSE 590003                                          	Diversified Banks           	India 	250.3
Nordea Bank Polska SA  WSE NDA                                        	Diversified Banks           	Poland	285.5
Powszechna Kasa Oszczednosci Bank Polski SA  WSE PKO                  	Diversified Banks           	Poland	12609.5
China CITIC Bank Corporation Ltd   SEHK 998                           	Diversified Banks           	China 	13999.3
HDFC Bank Ltd   BSE 500180                                            	Diversified Banks           	India 	8749
Bank Handlowy W Warszawie SA  WSE BHW                                 	Diversified Banks           	Poland	2297.7
Industrial and Commercial Bank of China Limited  SEHK 1398            	Diversified Banks           	China 	170644.8
Bank Zachodni WBK SA  WSE BZW                                         	Diversified Banks           	Poland	2839.5
Northwest Yongxin Chemical Industry Co  Ltd   SZSE 000791             	Commodity Chemicals         	China 	100.1
United Food Holdings Ltd   SGX U01                                    	Packaged Foods and Meats    	China 	37.8
Wuhan Xianglong Power Industry Co  Ltd   SHSE 600769                  	Commodity Chemicals         	China 	166.7
Mendes Junior Engenharia S A   BOVESPA MEND6                          	Construction and Engineering	Brazil	159.7
Centrostal S A  WSE CSG                                               	Steel                       	Poland	33.1
SGSB Group Co Ltd   SHSE 900924                                       	Industrial Machinery        	China 	97.4
Xinxiang Chemical Fiber Co   Ltd   SZSE 000949                        	Commodity Chemicals         	China 	224.7
Changchunjingkai  Group  co   ltd   SHSE 600215                       	Construction and Engineering	China 	187.8
Mostostal-Export SA  WSE MSX                                          	Construction and Engineering	Poland	28.7
Xibei Bearing Co  Ltd  SZSE 000595                                    	Industrial Machinery        	China 	234.4
Habin Gong Da High-Tech Enterprise Development Co   Ltd  SHSE 600701  	Packaged Foods and Meats    	China 	186
Baoding Swan Co  Ltd   SZSE 000687                                    	Commodity Chemicals         	China 	277.8
Acucar Guarani SA  BOVESPA ACGU3                                      	Packaged Foods and Meats    	Brazil	216.7
Zhejiang Jiangshan Chemical Co  Ltd   SZSE 002061                     	Commodity Chemicals         	China 	111.6
Companhia Cacique de Cafe Soluvel  BOVESPA CIQU4                      	Packaged Foods and Meats    	Brazil	55.7
Gansu Ronghua Industry Group Co   Ltd   SHSE 600311                   	Packaged Foods and Meats    	China 	604.6
Jingwei Textile Machinery Co  Ltd   SEHK 350                          	Industrial Machinery        	China 	68.5
Inner Mongolia Yili Industrial Group Co   Ltd  SHSE 600887            	Packaged Foods and Meats    	China 	996.1
Shanghai Maling Aquarius Co   Ltd   SHSE 600073                       	Packaged Foods and Meats    	China 	241.9
Guangdong Kaiping Chunhui Co   Ltd   SZSE 000976                      	Commodity Chemicals         	China 	211.9
Construtora Sultepa S A   BOVESPA SULT4                               	Construction and Engineering	Brazil	21.1
Beiren Printing Machinery Holdings Ltd   SEHK 187                     	Industrial Machinery        	China 	40.8
Liaoyuan Deheng Co   Ltd   SHSE 600699                                	Commodity Chemicals         	China 	82.9
Jilin Qifeng Chemical Fiber Co  Ltd   SEHK 549                        	Commodity Chemicals         	China 	18.9
Changchai Co  Ltd   SZSE 200570                                       	Industrial Machinery        	China 	92.2
Baotou Huazi Industry Co   Ltd   SHSE 600191                          	Packaged Foods and Meats    	China 	273.1
Science City Development Public Co   Ltd  SZSE 000975                 	Construction and Engineering	China 	282.5
Jilin Chemical Fibre Co   Ltd   SZSE 000420                           	Commodity Chemicals         	China 	136.1
Companhia Leco de Produtos Alimenticios  BOVESPA LECO4                	Packaged Foods and Meats    	Brazil	93.3
Ningxia Dayuan Chemical Co   Ltd   SHSE 600146                        	Commodity Chemicals         	China 	112.6
Xiangtan Electrochemical Scientific Ltd   SZSE 002125                 	Commodity Chemicals         	China 	67.3
Sinopec Yizheng Chemical Fibre Co  Ltd   SEHK 1033                    	Commodity Chemicals         	China 	454.1
Chengdu Galaxy Power Co Ltd   SZSE 000519                             	Industrial Machinery        	China 	77.7
Qinghai Jinrun Mineral Development Co   Ltd  SHSE 600714              	Steel                       	China 	93.2
Remak SA  WSE RMK                                                     	Construction and Engineering	Poland	16.9
BGRIMM Magnetic Materials & Technology Co   Ltd  SHSE 600980          	Steel                       	China 	120
Anhui Guotong Hi-Tech Pipes Ind  SHSE 600444                          	Industrial Machinery        	China 	196.1
Baotou Tomorrow Technology Co   Ltd   SHSE 600091                     	Commodity Chemicals         	China 	162.4
Jiangsu Qionghua High-Tech Co Ltd  SZSE 002002                        	Commodity Chemicals         	China 	76.9
Shandong Wanjie High-Tech Co   Ltd   SHSE 600223                      	Commodity Chemicals         	China 	307.5
Usina Costa Pinto S A - Acucar e Alcool  BOVESPA UCOP4                	Packaged Foods and Meats    	Brazil	600.1
Chongqing Titanium Industry Co  Ltd  of Pangang Group  SZSE 000515    	Commodity Chemicals         	China 	372.4
M&G Poliester S A   BOVESPA RHDS3                                     	Commodity Chemicals         	Brazil	250.9
China North Optical-Electrical Technology Co   Ltd   SHSE 600435      	Industrial Machinery        	China 	427.4
Cosan Ltd   BOVESPA CZLT11                                            	Packaged Foods and Meats    	Brazil	1002.5
Hebei Baoshuo Co  Ltd   SHSE 600155                                   	Commodity Chemicals         	China 	159.9
Tongling Suntech Co  Ltd   SHSE 600520                                	Industrial Machinery        	China 	65.3
CNNC Hua Yuan Titanium Dioxide Company Ltd   SZSE 002145              	Commodity Chemicals         	China 	141.2
Dahua Group Dalian Chemical Industry  SHSE 900951                     	Commodity Chemicals         	China 	63.3
Bright Dairy & Food Company Ltd  SHSE 600597                          	Packaged Foods and Meats    	China 	716.3
Shanghai Huili Building Materials Co  Ltd   SHSE 900939               	Commodity Chemicals         	China 	35.2
Sinopec Shanghai Petrochemical Co  Ltd   SEHK 338                     	Commodity Chemicals         	China 	1961.3
China Textile Machinery Co   Ltd   SHSE 900906                        	Industrial Machinery        	China 	75.3
Mmx Mineracao E Metalicos SA  BOVESPA MMXM3                           	Steel                       	Brazil	405.8
Itausa-Investimentos Itau SA  BOVESPA ITSA4                           	Diversified Banks           	Brazil	14614.1
Jiangsu Fasten Company Limited  SZSE 000890                           	Steel                       	China 	157.7
China Union Holdings Ltd   SZSE 000036                                	Commodity Chemicals         	China 	345.2
Parmalat Brasil SA  BOVESPA LCSA3                                     	Packaged Foods and Meats    	Brazil	5544.2
Shanghai Erfangji Co  Ltd   SHSE 900902                               	Industrial Machinery        	China 	91.8
Cnfc Overseas Fishery Co  SZSE 000798                                 	Packaged Foods and Meats    	China 	253.7
Lupatech S A   BOVESPA LUPA3                                          	Industrial Machinery        	Brazil	499.2
